,France,Japan,"Korea, Republic of",Norway,Portugal,Sweden,Switzerland,United Kingdom,United States
2014Q3,1296.6266666666668,1199.6467066666673,1266.3020000000004,1273.7666666666667,1303.931333333334,4309.203333333335,1314.1723666666664,1288.7999999999995,238.044333333333
2014Q4,1299.463333333333,1200.3205433333328,1261.2859999999994,1282.0333333333333,1315.263,4319.636666666666,1319.194366666667,1298.8999999999999,236.132
2015Q1,1290.9000000000008,1192.0160133333334,1296.4533333333343,1282.6666666666667,1302.6373333333336,4315.013333333333,1306.2899333333319,1292.8333333333337,234.849333333333
2015Q2,1306.0866666666661,1202.5254466666647,1299.053333333333,1297.5333333333326,1327.0709999999995,4339.656666666665,1310.4892666666663,1299.5666666666677,237.680666666667
2015Q3,1299.7900000000002,1201.59603,1303.386666666666,1302.3333333333337,1317.6773333333344,4341.493333333335,1299.5136000000002,1300.2333333333331,238.305
2015Q4,1303.2333333333336,1203.6847333333346,1301.1333333333343,1317.4333333333343,1327.2026666666657,4349.916666666666,1303.1969333333332,1307.2666666666664,237.233
2016Q1,1293.0033333333338,1194.2224566666662,1309.0066666666653,1325.8,1316.6250000000007,4355.829999999999,1294.4520333333332,1303.8333333333342,237.386333333333
2016Q2,1309.5933333333355,1203.541793333333,1313.16,1341.5333333333338,1336.450333333333,4380.3033333333315,1305.9674999999995,1310.5333333333338,240.169333333333
2016Q3,1305.5399999999986,1199.420770000001,1317.0999999999983,1352.5666666666652,1327.4360000000006,4384.973333333335,1296.8826333333334,1315.100000000001,240.968333333333
2016Q4,1310.6200000000006,1203.533093333334,1319.8966666666672,1363.4333333333338,1340.0089999999996,4406.773333333333,1297.7914999999996,1326.5333333333333,241.504666666667
